date,country,location_name,temperature_celsius,feels_like_celsius,wind_kph,pressure_mb,precip_mm,humidity,cloud,visibility_km,uv_index,air_quality_PM2.5,air_quality_PM10,anomaly_score
2024-12-30,Uzbekistan,Tashkent,4.2,1.5,10.8,1024.0,0.05,87.0,100.0,1.3,0.4,57.10000000000001,86.6625,-0.06588435530436965
2025-05-05,Oman,Muscat,42.4,44.5,29.2,1003.0,0.0,18.0,0.0,10.0,10.2,57.10000000000001,86.6625,-0.028172070365242496
2024-06-11,Qatar,Doha,39.4,48.0,11.2,1001.0,0.0,51.0,0.0,8.0,9.0,44.8,86.6625,-0.018573840129852304
2026-03-02,Canada,Ottawa,-2.099999999999996,-5.450000000000003,3.6,1030.0,0.0,70.0,0.0,24.0,0.0,8.15,8.75,-0.007984056511403548
2024-05-30,Saudi Arabia,Riyadh,44.0,46.2,6.8,1007.0,0.0,5.0,0.0,10.0,10.0,49.6,86.6625,-0.011024001634482139
2025-05-11,Bangladesh,Dhaka,41.5,42.2,6.1,1001.0,0.05,20.0,80.0,10.0,2.5,57.10000000000001,86.6625,-0.06120429018950024
2024-12-23,North Korea,Pyongyang,-2.099999999999996,-5.450000000000003,7.6,1026.0,0.0,59.0,0.0,10.0,0.0,57.10000000000001,86.6625,-0.004103272819725112
2026-01-20,Canada,Ottawa,-2.099999999999996,-5.450000000000003,31.3,1011.0,0.0,72.0,75.0,16.0,0.0,1.65,1.75,-0.020380378747444694
2024-12-13,Croatia,Zagreb,1.3,0.6,3.6,1030.0,0.0,93.0,100.0,8.0,1.1,57.10000000000001,69.745,-0.0073607408873077596
2025-01-24,Marshall Islands,Majuro,28.4,33.4,34.85000000000001,1009.0,0.05,79.0,75.0,24.0,0.0,22.2,33.855,-0.0051776371617425765
2025-07-13,Kuwait,Kuwait City,45.2,49.2,7.9,999.0,0.0,8.0,0.0,10.0,9.7,57.10000000000001,86.6625,-0.04115661362437828
2024-12-28,Madagascar,Ivory,37.4,37.7,3.6,1010.0,0.05,25.0,83.0,5.0,11.2,8.88,10.545,-0.009610481464240817
2024-07-24,Guatemala,Guatemala City,16.0,16.1,4.7,1019.0,0.0,98.0,100.0,0.0,4.0,56.7,86.6625,-0.004378343704069754
2024-10-11,Myanmar,Yangon,31.6,38.2,3.6,1006.0,0.05,67.0,89.0,9.0,0.9,50.875,73.815,-0.003784396361572795
2025-05-27,Qatar,Doha,43.0,44.6,23.4,1001.0,0.0,7.0,0.0,10.0,10.5,57.10000000000001,86.6625,-0.04063459123697599
2025-01-31,Canada,Ottawa,-2.099999999999996,-5.450000000000003,3.6,1012.0,0.0,85.0,100.0,24.0,0.0,34.78,36.63,-0.002795820622730316
2025-07-13,Iraq,Baghdad,44.2,46.6,6.8,1000.0,0.0,14.0,0.0,6.0,9.7,57.10000000000001,86.6625,-0.05586325758820099
2024-12-20,Russia,Moscow,1.8,-2.6,17.6,1001.0,0.0,99.0,100.0,10.0,0.2,57.10000000000001,72.705,-0.028719748364874675
2025-05-24,Indonesia,Jakarta,30.2,35.4,13.3,1005.0,0.05,75.0,75.0,9.0,3.2,57.10000000000001,86.6625,-0.0012865641926598226
2025-06-28,Saudi Arabia,Riyadh,42.1,43.1,6.8,1004.0,0.0,5.0,0.0,10.0,10.8,57.10000000000001,86.6625,-0.01914521018266291
2025-01-25,Russia,Moscow,0.3,-3.9,14.0,1020.0,0.0,86.0,100.0,10.0,0.3,57.10000000000001,86.6625,-0.013001218456485941
2026-06-10,India,New Delhi,38.0,46.5,16.6,1001.0,0.0,45.0,0.0,7.0,9.8,57.10000000000001,86.6625,-0.024525965945689232
