country,location_name,latitude,longitude,temperature_celsius,precip_mm,humidity,air_quality_PM2.5
Afghanistan,Kabul,34.5167,69.1833,16.98611111111111,0.0061805555555555555,28.6875,20.46027777777778
Afghanistan,Kabul,34.52,69.18,28.1,0.003125,20.59375,12.2871875
Albania,Tirana,41.3275,19.8189,16.253956834532374,0.012302158273381296,60.32374100719424,15.172589928057553
Albania,Tirana,41.33,19.82,30.224242424242423,0.012727272727272728,41.666666666666664,9.541969696969696
Algeria,Algiers,36.76,3.05,28.47714285714286,0.00028571428571428574,49.74285714285714,12.979142857142856
Algeria,Algiers,36.7631,3.0506,18.569230769230767,0.009230769230769232,68.09401709401709,18.7791452991453
Andorra,Andorra La Vella,42.5,1.5167,5.908403361344539,0.011848739495798321,71.92436974789916,5.377394959586008
Andorra,Andorra La Vella,42.5,1.52,17.96764705882353,0.024705882352941178,52.8235294117647,2.3197058823529413
Angola,Luanda,-8.84,13.23,25.74375,0.0,69.28125,40.01796875
Angola,Luanda,-8.8383,13.2344,26.195419847328242,0.008320610687022901,76.08396946564885,23.642022897851376
Antigua and Barbuda,Saint John's,17.1167,-61.85,25.524193548387096,0.02241935483870968,79.66129032258064,12.639225806451613
Antigua and Barbuda,Saint John's,17.12,-61.85,28.831999999999997,0.0228,76.12,3.7522800000000003
Argentina,Buenos Aires,-34.59,-58.67,11.50344827586207,0.005517241379310345,78.03448275862068,11.098620689655172
Argentina,Buenos Aires,-34.5875,-58.6725,16.28527131782946,0.0065116279069767444,83.18604651162791,12.68313953488372
Armenia,Yerevan,40.18,44.51,31.891304347826086,0.005217391304347826,22.82608695652174,9.14695652173913
Armenia,Yerevan,40.1811,44.5136,14.004065040650406,0.01008130081300813,48.739837398373986,14.961382113821138
Australia,Canberra,-35.2833,149.2167,16.787301587301585,0.007380952380952381,59.96031746031746,8.217817460317459
Australia,Canberra,-35.28,149.22,5.67741935483871,0.0022580645161290325,82.25806451612904,3.729516129032258
Austria,Vienna,48.2,16.3667,9.828057553956834,0.00920863309352518,71.29496402877697,20.61456834600984
Austria,Vienna,48.2,16.37,24.3,0.009130434782608696,52.43478260869565,5.038913043478261
Azerbaijan,Baku,40.3953,49.8822,16.891304347826086,0.005478260869565217,64.15652173913044,18.50469565217391
Azerbaijan,Baku,40.4,49.88,27.192592592592593,0.003703703703703704,46.925925925925924,13.965925925925928
